Node,Global Id,X,Y,Z,Vx Vel,Vy Vel,Vz Vel,Press,Temp,Scal1,TurbK,TurbD,HeatFlux,Shear Mag,NVol,Density,Mach
89,90,2.16E+02,-89.772,676.3,0,0,0,-3.22E-05,531.236,0,2.63E-12,2.0619,-7.69E-08,3.41E-08,0,1.12E-07,0
90,91,165.2,-86.699,676.3,0,0,0,-3.64E-05,534.376,0,2.63E-12,1.06146,-1.16E-07,2.78E-08,0,1.11E-07,0
91,92,178.38,-86.074,676.3,0,0,0,-3.57E-05,532.518,0,2.63E-12,5.78069,2.82E-07,5.83E-08,0,1.12E-07,0
92,93,188.97,-85.573,676.3,0,0,0,-3.74E-05,534.231,0,2.63E-12,1.97777,1.76E-07,8.02E-09,0,1.11E-07,0
93,94,200.08,-85.046,676.3,0,0,0,-3.68E-05,532.968,0,2.63E-12,1.29003,2.39E-07,9.83E-09,0,1.11E-07,0
94,95,214.63,-84.358,676.3,0,0,0,-2.42E-05,531.191,0,2.63E-12,0.486281,1.01E-07,3.70E-09,0,1.12E-07,0
95,96,167.61,-81.383,676.3,0,0,0,-2.49E-05,532.241,0,2.63E-12,7.51965,-1.29E-07,3.29E-08,0,1.12E-07,0
96,97,177.67,-76.315,676.3,0,0,0,-2.54E-05,531.188,0,2.63E-12,4.81444,1.51E-07,6.80E-09,0,1.12E-07,0
97,98,188.33,-81.167,676.3,0,0,0,-2.52E-05,531.626,0,2.63E-12,0.944232,-4.09E-08,2.49E-08,0,1.12E-07,0
98,99,199.44,-80.012,676.3,0,0,0,-2.63E-05,531.693,0,2.63E-12,6.59809,-3.06E-08,5.45E-08,0,1.12E-07,0
99,100,210.78,-79.131,676.3,0,0,0,-2.70E-05,531.438,0,2.63E-12,9.99101,6.37E-08,6.75E-08,0,1.12E-07,0
100,101,164.1,-100.92,713.2,0,0,0,-3.54E-05,532.43,0,2.63E-12,0.747279,-9.68E-08,1.30E-08,0,1.12E-07,0
101,102,173.54,-104.45,713.2,0,0,0,-3.62E-05,532.57,0,2.63E-12,0.683423,-4.10E-09,1.64E-08,0,1.12E-07,0
102,103,183.04,-101.49,713.2,0,0,0,-3.70E-05,531.973,0,2.63E-12,0.901915,-5.05E-08,1.60E-08,0,1.12E-07,0
103,104,192.01,-105.55,713.2,0,0,0,-3.71E-05,532.275,0,2.63E-12,1.07569,4.57E-08,7.14E-09,0,1.12E-07,0
104,105,201.12,-100.49,713.2,0,0,0,-3.60E-05,532.229,0,2.63E-12,7.62882,-6.85E-08,2.04E-08,0,1.12E-07,0
105,106,161.4,-96.66,713.2,0,0,0,-3.67E-05,532.997,0,2.63E-12,4.45974,4.44E-07,4.72E-08,0,1.11E-07,0
106,107,173.02,-96.49,713.2,0,0,0,-3.56E-05,531.773,0,2.63E-12,0.697077,-3.94E-08,9.69E-09,0,1.12E-07,0
107,108,182.62,-96.35,713.2,0,0,0,-3.62E-05,531.244,0,2.63E-12,7.95626,6.33E-07,6.57E-08,0,1.12E-07,0
108,109,191.01,-96.227,713.2,0,0,0,-3.65E-05,533.193,0,2.63E-12,18.1829,6.17E-07,7.38E-08,0,1.11E-07,0
109,110,202.89,-96.054,713.2,0,0,0,-3.51E-05,532.74,0,2.63E-12,14.5284,4.59E-07,5.50E-08,0,1.12E-07,0
110,111,160.31,-92.331,713.2,0,0,0,-3.39E-05,530.577,0,2.63E-12,13.8018,4.50E-07,5.75E-08,0,1.12E-07,0
111,112,172.75,-92.197,713.2,0,0,0,-3.46E-05,530.825,0,2.63E-12,16.0075,4.72E-07,7.67E-08,0,1.12E-07,0
112,113,182.28,-92.095,713.2,0,0,0,-3.49E-05,545.154,0,2.63E-12,0.0369017,1.26E-05,7.88E-09,0,1.09E-07,0
113,114,190.55,-92.006,713.2,0,0,0,-3.51E-05,545.507,0,2.63E-12,0.0965336,1.06E-05,1.24E-08,0,1.09E-07,0
114,115,203.04,-91.872,713.2,0,0,0,-3.38E-05,545.629,0,2.63E-12,0.071085,4.63E-06,1.05E-08,0,1.09E-07,0
115,116,160.84,-87.937,713.2,0,0,0,-3.74E-05,545.342,0,2.63E-12,0.0702715,1.43E-05,1.62E-08,0,1.09E-07,0
116,117,172.48,-87.941,713.2,0,0,0,-2.55E-05,531.721,0,2.63E-12,4.65529,-1.94E-08,3.34E-08,0,1.12E-07,0
117,118,181.95,-87.944,713.2,0,0,0,-3.45E-05,532.227,0,2.63E-12,2.2374,-1.23E-09,1.50E-08,0,1.12E-07,0
118,119,190.12,-87.947,713.2,0,0,0,-3.31E-05,530.734,0,2.63E-12,6.79634,3.06E-07,4.93E-08,0,1.12E-07,0
119,120,201.57,-87.951,713.2,0,0,0,-2.58E-05,531.486,0,2.63E-12,1.64604,-6.44E-08,1.52E-08,0,1.12E-07,0
120,121,162.98,-83.477,713.2,0,0,0,-3.06E-05,546.433,0,2.63E-12,0.0631312,7.33E-05,1.72E-08,0,1.09E-07,0
121,122,172.07,-81.645,713.2,0,0,0,-2.49E-05,546.071,0,2.63E-12,37.4731,1.21E-05,8.05E-08,0,1.09E-07,0
122,123,181.35,-80.523,713.2,0,0,0,-2.56E-05,546.33,0,2.63E-12,6.42652,4.32E-06,4.92E-08,0,1.09E-07,0
123,124,189.69,-83.961,713.2,0,0,0,-3.40E-05,546.519,0,2.63E-12,4.3253,8.51E-06,2.71E-08,0,1.09E-07,0
124,125,198.49,-84.29,713.2,0,0,0,-3.36E-05,542.746,0,2.63E-12,12.5904,8.12E-06,6.38E-08,0,1.09E-07,0
125,126,164.15,-94.84,749.1,0,0,0,-3.28E-05,543.583,0,2.63E-12,19.8926,2.68E-05,4.68E-08,0,1.09E-07,0
126,127,168.87,-95.762,749.1,0,0,0,-3.29E-05,543.605,0,2.63E-12,19.146,2.04E-05,3.50E-08,0,1.09E-07,0
127,128,172.98,-93.736,749.1,0,0,0,-3.37E-05,542.743,0,2.63E-12,15.9373,6.90E-06,6.69E-08,0,1.09E-07,0
128,129,177.88,-93.099,749.1,0,0,0,-3.33E-05,542.973,0,2.63E-12,8.05288,2.39E-05,5.84E-08,0,1.09E-07,0
129,130,182.81,-91.701,749.1,0,0,0,-3.23E-05,543.597,0,2.63E-12,9.74826,1.31E-05,2.82E-08,0,1.09E-07,0
130,131,162.66,-91.948,749.1,0,0,0,-3.23E-05,543.62,0,2.63E-12,12.4469,1.21E-05,6.00E-08,0,1.09E-07,0
131,132,169.5,-91.472,749.1,0,0,0,-3.35E-05,542.981,0,2.63E-12,9.15569,2.34E-05,6.43E-08,0,1.09E-07,0
132,133,173.13,-91.22,749.1,0,0,0,-3.56E-05,546.637,0,2.63E-12,2.86024,4.55E-06,2.28E-08,0,1.09E-07,0
133,134,178.28,-90.862,749.1,0,0,0,-2.31E-05,546.24,0,2.63E-12,2.77694,3.45E-06,3.20E-08,0,1.09E-07,0
134,135,183.68,-90.486,749.1,0,0,0,-2.32E-05,545.94,0,2.63E-12,31.6946,3.52E-06,5.02E-08,0,1.09E-07,0
135,136,162.5,-89.255,749.1,0,0,0,-3.15E-05,546.383,0,2.63E-12,0.0787586,0.00014717,1.04E-08,0,1.09E-07,0
136,137,169.83,-89.24,749.1,0,0,0,-3.22E-05,543.86,0,2.63E-12,7.93654,1.46E-05,2.71E-08,0,1.09E-07,0
137,138,173.7,-89.233,749.1,0,0,0,-3.27E-05,543.891,0,2.63E-12,6.77635,7.78E-06,3.78E-08,0,1.09E-07,0
138,139,178.57,-89.223,749.1,0,0,0,-3.39E-05,545.682,0,2.63E-12,10.018,7.31E-06,9.98E-09,0,1.09E-07,0
139,140,184.09,-89.212,749.1,0,0,0,-3.37E-05,545.568,0,2.63E-12,19.9042,1.21E-05,5.07E-08,0,1.09E-07,0
