point1,0.4,0.3,0
point2,1,0,0
point3,2,0,0
point4,3,0,0
point5,3.6,0.3,0
point6,0.1,1,0
point7,1,1,0
point8,2,1,0
point9,3,1,0
point10,3.9,1,0
point11,0,2,0
point12,1,2,0
point13,2,2,0
point14,3,2,0
point15,4,2,0
point16,0.1,3,0
point17,1,3,0
point18,2,3,0
point19,3,3,0
point20,3.9,3,0
point21,0.4,3.7,0
point22,1,4,0
point23,2,4,0
point24,3,4,0
point25,3.6,3.7,0
point26,-0.096,-0.227,1
point27,0.69,-0.62,1
point28,2,-0.62,1
point29,3.31,-0.62,1
point30,4.096,-0.227,1
point31,-0.489,0.69,1
point32,0.69,0.69,1
point33,2,0.69,1
point34,3.31,0.69,1
point35,4.489,0.69,1
point36,-0.62,2,1
point37,0.69,2,1
point38,2,2,1
point39,3.31,2,1
point40,4.62,2,1
point41,-0.489,3.31,1
point42,0.69,3.31,1
point43,2,3.31,1
point44,3.31,3.31,1
point45,4.489,3.31,1
point46,-0.096,4.227,1
point47,0.69,4.62,1
point48,2,4.62,1
point49,3.31,4.62,1
point50,4.096,4.227,1
point51,-0.32,-0.465,2
point52,0.55,-0.9,2
point53,2,-0.9,2
point54,3.45,-0.9,2
point55,4.32,-0.465,2
point56,-0.755,0.55,2
point57,0.55,0.55,2
point58,2,0.55,2
point59,3.45,0.55,2
point60,4.755,0.55,2
point61,-0.9,2,2
point62,0.55,2,2
point63,2,2,2
point64,3.45,2,2
point65,4.9,2,2
point66,-0.755,3.45,2
point67,0.55,3.45,2
point68,2,3.45,2
point69,3.45,3.45,2
point70,4.755,3.45,2
point71,-0.32,4.465,2
point72,0.55,4.9,2
point73,2,4.9,2
point74,3.45,4.9,2
point75,4.32,4.465,2
point76,-0.496,-0.652,3
point77,0.44,-1.12,3
point78,2,-1.12,3
point79,3.56,-1.12,3
point80,4.496,-0.652,3
point81,-0.964,0.44,3
point82,0.44,0.44,3
point83,2,0.44,3
point84,3.56,0.44,3
point85,4.964,0.44,3
point86,-1.12,2,3
point87,0.44,2,3
point88,2,2,3
point89,3.56,2,3
point90,5.12,2,3
point91,-0.964,3.56,3
point92,0.44,3.56,3
point93,2,3.56,3
point94,3.56,3.56,3
point95,4.964,3.56,3
point96,-0.496,4.652,3
point97,0.44,5.12,3
point98,2,5.12,3
point99,3.56,5.12,3
point100,4.496,4.652,3
point101,-0.608,-0.771,4
point102,0.37,-1.26,4
point103,2,-1.26,4
point104,3.63,-1.26,4
point105,4.608,-0.771,4
point106,-1.097,0.37,4
point107,0.37,0.37,4
point108,2,0.37,4
point109,3.63,0.37,4
point110,5.097,0.37,4
point111,-1.26,2,4
point112,0.37,2,4
point113,2,2,4
point114,3.63,2,4
point115,5.26,2,4
point116,-1.097,3.63,4
point117,0.37,3.63,4
point118,2,3.63,4
point119,3.63,3.63,4
point120,5.097,3.63,4
point121,-0.608,4.771,4
point122,0.37,5.26,4
point123,2,5.26,4
point124,3.63,5.26,4
point125,4.608,4.771,4
point126,-0.672,-0.839,5
point127,0.33,-1.34,5
point128,2,-1.34,5
point129,3.67,-1.34,5
point130,4.672,-0.839,5
point131,-1.173,0.33,5
point132,0.33,0.33,5
point133,2,0.33,5
point134,3.67,0.33,5
point135,5.173,0.33,5
point136,-1.34,2,5
point137,0.33,2,5
point138,2,2,5
point139,3.67,2,5
point140,5.34,2,5
point141,-1.173,3.67,5
point142,0.33,3.67,5
point143,2,3.67,5
point144,3.67,3.67,5
point145,5.173,3.67,5
