true,0//4,0//0,0.010628065,0.138171124,1.413644530,0.012613017,0.139090981,1.390811761,0.014138592,0.140344583,1.367941938,0.017495587,0.142152542,1.345290911,0.020519178,0.142977995,1.322730799,0.011600946,0.136890911,1.302840425,
false,1//4,0//0,0.010455991,0.138636473,1.415608005,0.011978016,0.140909927,1.392396325,0.013428957,0.142251182,1.369336985,0.016247262,0.144145699,1.346210731,0.019360435,0.144790964,1.323519957,0.010017184,0.138683184,1.303567961,
false,2//4,0//0,0.010427523,0.139306101,1.417477609,0.012014960,0.142482831,1.393991960,0.013322221,0.144111520,1.370674115,0.015854935,0.146031298,1.347165262,0.018282760,0.146685522,1.324192314,0.008340880,0.140280251,1.304420451,
false,3//4,0//0,0.010542660,0.140180008,1.419253344,0.012723849,0.143809693,1.395598666,0.013818386,0.145925596,1.371953329,0.016318607,0.147809338,1.348154505,0.017286155,0.148661670,1.324747871,0.006572037,0.141682112,1.305397897,
true,4//4,0//0,0.010801404,0.141258195,1.420935208,0.014104684,0.144890513,1.397216443,0.014917452,0.147693410,1.373174627,0.017638278,0.149479818,1.349178459,0.016370619,0.150719407,1.325186627,0.004710653,0.142888766,1.306500297,
true,0//0,0//4,0.010628065,0.138171124,1.413644530,0.012613017,0.139090981,1.390811761,0.014138592,0.140344583,1.367941938,0.017495587,0.142152542,1.345290911,0.020519178,0.142977995,1.322730799,0.011600946,0.136890911,1.302840425,
false,0//0,1//4,0.010291780,0.136959896,1.411833067,0.012812259,0.137810793,1.389369010,0.014615023,0.138833187,1.366950816,0.017937440,0.140319535,1.344793294,0.020914753,0.141010614,1.322593489,0.012357238,0.135092942,1.303006939,
false,0//0,2//4,0.010127820,0.135771915,1.409999955,0.013182369,0.136485836,1.388032853,0.015316236,0.137355169,1.366135784,0.018609615,0.138568426,1.344458775,0.021510444,0.139144929,1.322676818,0.013233118,0.133452918,1.303420653,
false,0//0,3//4,0.010136184,0.134607180,1.408145195,0.013723345,0.135116112,1.386803290,0.016242229,0.135910530,1.365496842,0.019512112,0.136899216,1.344287353,0.022306252,0.137380940,1.322980786,0.014228589,0.131970840,1.304081566,
true,0//0,4//4,0.010316872,0.133465692,1.406268787,0.014435189,0.133701621,1.385680321,0.017393003,0.134499269,1.365033990,0.020644932,0.135311905,1.344279027,0.023302176,0.135718648,1.323505392,0.015343649,0.130646706,1.304989679,
true,0//4,1//1,0.010316872,0.133465692,1.406268787,0.014435189,0.133701621,1.385680321,0.017393003,0.134499269,1.365033990,0.020644932,0.135311905,1.344279027,0.023302176,0.135718648,1.323505392,0.015343649,0.130646706,1.304989679,
false,1//4,1//1,0.010715517,0.134955447,1.407584199,0.015453863,0.135583795,1.386362935,0.018388338,0.136277199,1.365068046,0.021891143,0.137425571,1.343966711,0.023828648,0.138068019,1.322789665,0.015488018,0.133218068,1.303969436,
false,2//4,1//1,0.010930667,0.136083848,1.409157820,0.016028170,0.137340215,1.387407847,0.018894590,0.138018767,1.365479372,0.022471971,0.139617970,1.343899821,0.023792222,0.140376753,1.322205261,0.014806074,0.135485356,1.303218930,
false,3//4,1//1,0.010962320,0.136850892,1.410989650,0.016158107,0.138970883,1.388815058,0.018911761,0.139723975,1.366267968,0.022387416,0.141889102,1.344078356,0.023192895,0.142644849,1.321752182,0.013297818,0.137448569,1.302738162,
true,4//4,1//1,0.010810478,0.137256581,1.413079690,0.015843676,0.140475797,1.390584566,0.018439849,0.141392822,1.367433833,0.021637478,0.144238966,1.344502318,0.022030670,0.144872308,1.321430428,0.010963249,0.139107708,1.302527131,
true,1//1,0//4,0.010801404,0.141258195,1.420935208,0.014104684,0.144890513,1.397216443,0.014917452,0.147693410,1.373174627,0.017638278,0.149479818,1.349178459,0.016370619,0.150719407,1.325186627,0.004710653,0.142888766,1.306500297,
false,1//1,1//4,0.012077739,0.141304412,1.418034401,0.015007238,0.145006655,1.394583683,0.016555711,0.147122268,1.370882380,0.018595783,0.148790934,1.347187830,0.017880082,0.149675785,1.323680270,0.006289826,0.142390466,1.305090774,
false,1//1,2//4,0.012504697,0.140652882,1.415758213,0.015597922,0.144309583,1.392600783,0.017688864,0.145881790,1.369161498,0.019581484,0.147687830,1.345744930,0.019326578,0.148353395,1.322552118,0.007858317,0.141594190,1.303958739,
false,1//1,3//4,0.012082276,0.139303605,1.414106643,0.015876734,0.142799297,1.391267744,0.018316910,0.143971975,1.368011982,0.020595383,0.146170507,1.344849759,0.020710107,0.146752236,1.321802171,0.009416124,0.140499937,1.303104191,
true,1//1,4//4,0.010810478,0.137256581,1.413079690,0.015843676,0.140475797,1.390584566,0.018439849,0.141392822,1.367433833,0.021637478,0.144238966,1.344502318,0.022030670,0.144872308,1.321430428,0.010963249,0.139107708,1.302527131,
