1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.99928,0.99928,0.99925,0.99925,0.99957,0.99957,1.0004,1.0004,0.99995,0.99995,0.99996,0.99996,0.99999,0.99999,1.0001,1.0001,0.99994,0.99994,0.9999,0.9999,0.99999,0.99999,0.99993,0.99993,0.99992,0.99992,0.9999,0.9999,1,1,1.0001,1.0001,1.0001,1.0001,1,1,0.99994,0.99994,0.99995,0.99995,0.99997,0.99997,0.99999,0.99999,0.99997,0.99997
0.99859,0.99859,0.99852,0.99852,0.99915,0.99915,1.0008,1.0008,0.99991,0.99991,0.99993,0.99993,0.99999,0.99999,1.0001,1.0001,0.99989,0.99989,0.99981,0.99981,0.99998,0.99998,0.99987,0.99987,0.99984,0.99984,0.9998,0.9998,1.0001,1.0001,1.0001,1.0001,1.0001,1.0001,1,1,0.99988,0.99988,0.99989,0.99989,0.99993,0.99993,0.99997,0.99997,0.99994,0.99994
0.99792,0.99792,0.99781,0.99781,0.99875,0.99875,1.0012,1.0012,0.99986,0.99986,0.99989,0.99989,0.99998,0.99998,1.0002,1.0002,0.99984,0.99984,0.99972,0.99972,0.99998,0.99998,0.9998,0.9998,0.99977,0.99977,0.9997,0.9997,1.0001,1.0001,1.0002,1.0002,1.0002,1.0002,1.0001,1.0001,0.99982,0.99982,0.99984,0.99984,0.9999,0.9999,0.99996,0.99996,0.99991,0.99991
0.99726,0.99726,0.99712,0.99712,0.99836,0.99836,1.0016,1.0016,0.99982,0.99982,0.99986,0.99986,0.99998,0.99998,1.0002,1.0002,0.99979,0.99979,0.99963,0.99963,0.99997,0.99997,0.99974,0.99974,0.9997,0.9997,0.99961,0.99961,1.0001,1.0001,1.0002,1.0002,1.0002,1.0002,1.0001,1.0001,0.99977,0.99977,0.9998,0.9998,0.99987,0.99987,0.99995,0.99995,0.99988,0.99988
0.99663,0.99663,0.99646,0.99646,0.99798,0.99798,1.002,1.002,0.99978,0.99978,0.99983,0.99983,0.99997,0.99997,1.0003,1.0003,0.99974,0.99974,0.99954,0.99954,0.99996,0.99996,0.99968,0.99968,0.99963,0.99963,0.99952,0.99952,1.0002,1.0002,1.0003,1.0003,1.0003,1.0003,1.0001,1.0001,0.99972,0.99972,0.99975,0.99975,0.99984,0.99984,0.99994,0.99994,0.99985,0.99985
0.99602,0.99602,0.99582,0.99582,0.99762,0.99762,1.0024,1.0024,0.99974,0.99974,0.99979,0.99979,0.99997,0.99997,1.0003,1.0003,0.99969,0.99969,0.99946,0.99946,0.99996,0.99996,0.99962,0.99962,0.99956,0.99956,0.99943,0.99943,1.0002,1.0002,1.0003,1.0003,1.0003,1.0003,1.0001,1.0001,0.99967,0.99967,0.99971,0.99971,0.99981,0.99981,0.99993,0.99993,0.99983,0.99983
0.99543,0.99543,0.9952,0.9952,0.99727,0.99727,1.0027,1.0027,0.9997,0.9997,0.99976,0.99976,0.99997,0.99997,1.0004,1.0004,0.99965,0.99965,0.99938,0.99938,0.99995,0.99995,0.99957,0.99957,0.99949,0.99949,0.99934,0.99934,1.0002,1.0002,1.0004,1.0004,1.0004,1.0004,1.0001,1.0001,0.99962,0.99962,0.99966,0.99966,0.99979,0.99979,0.99992,0.99992,0.9998,0.9998
0.99485,0.99485,0.99459,0.99459,0.99693,0.99693,1.003,1.003,0.99967,0.99967,0.99973,0.99973,0.99996,0.99996,1.0004,1.0004,0.99961,0.99961,0.9993,0.9993,0.99995,0.99995,0.99951,0.99951,0.99943,0.99943,0.99926,0.99926,1.0003,1.0003,1.0004,1.0004,1.0004,1.0004,1.0001,1.0001,0.99957,0.99957,0.99962,0.99962,0.99976,0.99976,0.99991,0.99991,0.99978,0.99978
0.9943,0.9943,0.99401,0.99401,0.99661,0.99661,1.0034,1.0034,0.99963,0.99963,0.99971,0.99971,0.99996,0.99996,1.0005,1.0005,0.99957,0.99957,0.99922,0.99922,0.99995,0.99995,0.99946,0.99946,0.99937,0.99937,0.99918,0.99918,1.0003,1.0003,1.0005,1.0005,1.0005,1.0005,1.0001,1.0001,0.99953,0.99953,0.99958,0.99958,0.99974,0.99974,0.9999,0.9999,0.99976,0.99976
